"Brand_Reg","Model_No","SoldIn","Country","screensize","Screen_Area","Screen_Tech","Pasv_stnd_power","Avg_mode_power","Labelled energy consumption (kWh/year)","SubmitStatus","Product Class","Availability Status","Star2","Star Rating Index","Power supply","Brand_Reg_Upper","screensize_by_inches","Screensize category"
"KOGAN","KALED65NU8020SZA","Australia,Fiji,New Zealand","China",163.896,11478.122496000002,"LCD (LED)","0.0",104.08,395,"Approved","Single product class","Available",5.5,5.739877324630157,"Internal","KOGAN",64.5259842519685,"60 inch"
"Gorilla","GSTV43","Australia,Fiji,New Zealand","China",108.044,4986.2516544,"LCD (LED)","0.0",48.2,200,"Approved","Single product class","Available",5,5.376921175457228,"Internal","GORILLA",42.53700787401575,"40 inch"
"SONIQ","E24HB40A","Australia,New Zealand","China",60.678,1578.7199999999998,"LCD (LED)","0.47",21.5,86,"Approved","Single product class","Available",5,5.0615060192076395,"Internal","SONIQ",23.888976377952755,"24 inch"
"HISENSE","50S8","Australia,New Zealand","China",125.731,6754.867344,"LCD (LED)","0.39",76.42,318,"Approved","Single product class","Available",4.5,4.512313918848999,"Internal","HISENSE",49.5003937007874,"48 inch"
"HISENSE","65S8","Australia,New Zealand","China",163.896,11478.122496000002,"LCD (LED)","0.38",100.61,416,"Approved","Single product class","Available",5.5,5.50774202403524,"Internal","HISENSE",64.5259842519685,"60 inch"
"HISENSE","55S8","Australia,New Zealand","China",138.783,8230.118400000001,"LCD (LED)","0.34",89.78,378,"Approved","Single product class","Available",4.5,4.546877182237033,"Internal","HISENSE",54.63897637795275,"50 inch"
"HISENSE","43S8","Australia,New Zealand","China",107.986,4982.795156,"LCD (LED)","0.3",62.75,264,"Approved","Single product class","Available",4,4.130011933246495,"Internal","HISENSE",42.51417322834646,"40 inch"
"HISENSE","75S8","Australia,New Zealand","China",189.34,15318.517823999999,"LCD (LED)","0.35",115.56,482,"Approved","Single product class","Available",6,6.0761614801848705,"Internal","HISENSE",74.54330708661418,"70+ inch"
"HISENSE","58S5","Australia,New Zealand","China",146.068,9162.865152,"LCD (LED)","0.28",74.18,298,"Approved","Single product class","Available",6,6.057762717485764,"Internal","HISENSE",57.50708661417323,"60 inch"
"STARVISION","ST32","Australia,Fiji,New Zealand","China",80.039,2736.7112736,"LCD (LED)","0.39",25.78,101,"Approved","Single product class","Available",6,6.18222134315158,"Internal","STARVISION",31.511417322834646,"32 inch"
"kogan","KALED82XR9210STA","Australia,Fiji,New Zealand","China",206.934,18266.600000000002,"LCD (LED)","0.36",233,853,"Approved","Single product class","Available",4,4.275148512260399,"Internal","KOGAN",81.47007874015748,"70+ inch"
"KOGAN","KALED24EH7500SVA","Australia,Fiji,New Zealand","China",59.824,1528.86953664,"LCD (LED)","0.0",18.4,84,"Approved","Single product class","Available",5,5.067844048828729,"EPS","KOGAN",23.55275590551181,"24 inch"
"Polaroid","PL32HDNF","Australia","China",79.967,2732.2400000000002,"LCD","0.35",28,104,"Approved","Single product class","Available",6,6.04521473860549,"Internal","POLAROID",31.48307086614173,"32 inch"
"AKAI","AK3221NF","Australia","China",79.967,2732.2400000000002,"LCD","0.35",28,104,"Approved","Single product class","Available",6,6.04521473860549,"Internal","AKAI",31.48307086614173,"32 inch"
"kogan","KALED50XU9210STB","Australia,Fiji,New Zealand","China",125.638,6745.2,"LCD (LED)","0.38",70,258,"Approved","Single product class","Available",5,5.443527158907108,"Internal","KOGAN",49.463779527559055,"48 inch"
"kogan","KALED50RU8020STA","Australia,Fiji,New Zealand","China",125.638,6745.2,"LCD (LED)","0.38",67,247,"Approved","Single product class","Available",5.5,5.6387882275646,"Internal","KOGAN",49.463779527559055,"48 inch"
"SMTV","50SM19-1","Australia,Fiji,New Zealand","China",125.731,6754.867344,"LCD (LED)","0.384",75.2,280,"Approved","Single product class","Available",5,5.082627418214837,"Internal","SMTV",49.5003937007874,"48 inch"
"KOGAN","KALED43RF9000SUA","Australia,Fiji,New Zealand","China",107.953,4979.729715840001,"LCD (LED)","0.3",45.5,185,"Approved","Single product class","Available",5.5,5.72115689900204,"Internal","KOGAN",42.5011811023622,"40 inch"
"KOGAN","KALED32RH9000SUA","Australia,Fiji,New Zealand","China",80.039,2736.7112736,"LCD (LED)","0.283",29.7,116,"Approved","Single product class","Available",5.5,5.561680559205171,"Internal","KOGAN",31.511417322834646,"32 inch"
"AKAI","AK4021NF","Australia","China",100.305,4258.3,"LCD","0.45",40,149,"Approved","Single product class","Available",6,6.082256469696936,"Internal","AKAI",39.49015748031496,"40 inch"
"Polaroid","PL55UHDG","Australia,Fiji,New Zealand","China",138.897,8252.2,"LCD (LED)","0.34",72.3,273,"Approved","Single product class","Available",6,6.016298854719112,"Internal","POLAROID",54.68385826771653,"50 inch"
"SAMSUNG ELECTRONICS","QA50Q60TAS","Australia,Fiji,New Zealand","Vietnam",125.725,6751.36,"LCD (LED)","0.5",81,299,"Approved","Single product class","Available",4.5,4.7862955846843445,"Internal","SAMSUNG ELECTRONICS",49.49803149606299,"48 inch"
"Linsar","LS50UHDSM20","Australia,Fiji,New Zealand","China",125.727,6754.5112,"LCD (LED)","0.0",61.2,225,"Approved","Single product class","Available",6,6.0624515145983064,"Internal","LINSAR",49.4988188976378,"48 inch"
"Palsonic","PT4015SF","Australia","China",100.314,4270.990000000001,"LCD (LED)","0.0",47.23,175,"Approved","Single product class","Available",5,5.372920452520654,"Internal","PALSONIC",39.49370078740157,"40 inch"
"kogan","KAQLED75XR9510STA","Australia,Fiji,New Zealand","China",189.306,15312,"LCD (LED)","0.4",166,608,"Approved","Single product class","Available",5,5.0336140515748085,"Internal","KOGAN",74.52992125984252,"70+ inch"
"HISENSE","75Q8","Australia,New Zealand","China",189.34,15318.517823999999,"LCD (LED)","0.25",145.09,598,"Approved","Single product class","Available",5,5.109758289817168,"Internal","HISENSE",74.54330708661418,"70+ inch"
"kogan","KALED65XU9250STA","Australia,Fiji,New Zealand","China",163.829,11466.84,"LCD (LED)","0.4",116,426,"Approved","Single product class","Available",5,5.397136331235652,"Internal","KOGAN",64.4996062992126,"60 inch"
"EKO","K650USN","Australia","China",163.897,11477.9975,"LCD (LED)","0.44",135.11,496,"Approved","Single product class","Available",4.5,4.719456056597748,"Internal","EKO",64.52637795275591,"60 inch"
"SVISION","SVU6500G","Australia","China",163.742,11458.81,"LCD (LED)","0.395",132.61,520,"Approved","Single product class","Available",4.5,4.500629776686056,"Internal","SVISION",64.46535433070866,"60 inch"
"HISENSE","65Q8","Australia,New Zealand","China",163.896,11478.122496000002,"LCD (LED)","0.34",130.15,520,"Approved","Single product class","Available",4.5,4.507742024035239,"Internal","HISENSE",64.5259842519685,"60 inch"
"LAD","HL-43A6KS","Australia,Fiji,New Zealand","China",107.953,4979.729715840001,"LCD (LED)","0.29",53.14,199,"Approved","Single product class","Available",5,5.394241784419823,"Internal","LAD",42.5011811023622,"40 inch"
"STARVISION","ST40","Australia","China",100.314,4270.990000000001,"LCD (LED)","0.0",47.23,175,"Approved","Single product class","Available",5,5.372920452520654,"Internal","STARVISION",39.49370078740157,"40 inch"
"HISENSE","32S4","Australia,New Zealand","China",80.039,2736.7112736,"LCD (LED)","0.33",25.08,104,"Approved","Single product class","Available",6,6.051048463058365,"Internal","HISENSE",31.511417322834646,"32 inch"
"HISENSE","40S4","Australia,New Zealand","China",100.332,4261.934154240001,"LCD (LED)","0.34",32.12,144,"Approved","Single product class","Available",6,6.238504023558243,"Internal","HISENSE",39.5007874015748,"40 inch"
"HISENSE","85Q8","Australia,New Zealand","China",214.783,19712.16,"LCD (LED)","0.25",209.07,860,"Approved","Single product class","Available",4.5,4.5676831732240135,"Internal","HISENSE",84.56023622047243,"70+ inch"
"SVISION","SVU5800G","Australia","China",146.126,9163.909999999998,"LCD (LED)","0.389",101.71,420,"Approved","Single product class","Available",4.5,4.520387811337665,"Internal","SVISION",57.529921259842524,"60 inch"
"THOMSON","STVLED43UHD","Australia","China",107.978,4982.1834,"LCD (LED)","0.28",58.25,215,"Approved","Single product class","Available",5,5.04961468920546,"Internal","THOMSON",42.51102362204724,"40 inch"
"BAUHN","ATV24FHDC-0620","Australia,Fiji,New Zealand","China",59.827,1529.038,"LCD (LED)","0.0",17.8,67,"Approved","Single product class","Available",6,6.081540150720054,"Internal","BAUHN",23.553937007874016,"24 inch"
"HISENSE","49S4","Australia,New Zealand","China",124.764,6685.6224,"LCD (LED)","0.23",49.52,212,"Approved","Single product class","Available",6,6.287554777320878,"Internal","HISENSE",49.119685039370076,"48 inch"
"AKAI","AK6520NF","Australia,Fiji,New Zealand","China",163.896,11478.122496000002,"LCD","0.0",98.15,368,"Approved","Single product class","Available",6,6.057174536739563,"Internal","AKAI",64.5259842519685,"60 inch"
"AKAI","AK5520NF","Australia,Fiji,New Zealand","China",138.783,8230.118400000001,"LCD (LED)","0.0",65.23,251,"Approved","Single product class","Available",6,6.381755466087895,"Internal","AKAI",54.63897637795275,"50 inch"
"PHILIPS","43PUT6504/75","Australia,Fiji,New Zealand","China",107.942,4978.7136,"LCD (LED)","0.29",60.18,244,"Approved","Single product class","Available",4,4.4798424777837305,"Internal","PHILIPS",42.49685039370078,"40 inch"
"PHILIPS","43PUT6504/79","Australia,Fiji,New Zealand","China",107.942,4978.7136,"LCD (LED)","0.29",60.18,244,"Approved","Single product class","Available",4,4.4798424777837305,"Internal","PHILIPS",42.49685039370078,"40 inch"
"PHILIPS","43PUT6504/7*","Australia,Fiji,New Zealand","China",107.942,4978.7136,"LCD (LED)","0.29",60.18,244,"Approved","Single product class","Available",4,4.4798424777837305,"Internal","PHILIPS",42.49685039370078,"40 inch"
"HISENSE","85S8","Australia,New Zealand","China",214.783,19712.16,"LCD (LED)","0.38",179.61,762,"Approved","Single product class","Available",5,5.109871521703537,"Internal","HISENSE",84.56023622047243,"70+ inch"
"HISENSE","55Q8","Australia,New Zealand","China",138.783,8230.118400000001,"LCD (LED)","0.28",117.55,476,"Approved","Single product class","Available",3.5,3.513803820922501,"Internal","HISENSE",54.63897637795275,"50 inch"
"SAMSUNG ELECTRONICS","HG43TS030AK","Australia,Fiji,New Zealand","Vietnam",107.95,4977.889999999999,"LCD (LED)","0.5",90,332,"Approved","Single product class","Available",3,3.0990641538315313,"Internal","SAMSUNG ELECTRONICS",42.5,"40 inch"
"SAMSUNG ELECTRONICS","HG50TS030AK","Australia,Fiji,New Zealand","Vietnam",125.725,6751.36,"LCD (LED)","0.5",128,470,"Approved","Single product class","Available",2.5,2.7593980174024337,"Internal","SAMSUNG ELECTRONICS",49.49803149606299,"48 inch"
"SAMSUNG ELECTRONICS","HG55TS030AK","Australia,Fiji,New Zealand","Vietnam",138.798,8228,"LCD (LED)","0.5",135,496,"Approved","Single product class","Available",3,3.3282940378441888,"Internal","SAMSUNG ELECTRONICS",54.64488188976378,"50 inch"
